"Name","Address","Signup/Start","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Pre-signup","on site signup","requiements / info (dates if specific) ","set time/rules","Price for Time","Web/signup","Coordinates"
"Tony v's comedy garage","1716 Hewitt AVE, Everett WA 98201","7pm/8pm","Yes","no","no","no","no","no","no","yes","yes","send email with stage name, deadline sun. 6pm","4/","Free","http://TonyvsgarageEverett.com/","[47.97918401681375,-122.20685978411494]"
"nector lounge","412 N 36th St, Seattle, WA 98103","","Yes","no","no","no","no","no","no","","","","","","","[47.65224588,-122.35409168]"
"Bad Bar","819 5th Ave N, Seattle, WA 98109","6:30pm/7pm","Yes","no","no","no","no","no","no","","Yes","","5/","Free","","[47.626521897959186,-122.34767708163265]"
"Comedy/bar","210 BROADWAY E, SEATTLE, WA 98102","7:30pm/8:30pm","REQ. ->","Yes","REQ. ->","no","Yes","no","Yes","yes","yes","Mon is $5 cover LGBTQIA+ priority; see insta. on Wed.","Tues. 3, Wed., Fri. and Sun. 4/ do not punch down","Free","https://www.blakekiltoff.com/latenightmic?fbclid=PAAaYjx0Re7R8kuqTC-7ar8xZrdT1Fgheb6tPxfSgmJ6ctA1RVaV_4z4L_1Xo","[47.62012597959184,-122.32075542857142]"
"Southgate roller rink","9646 17TH AVE SW Seattle wa 98106","9pm/9:25pm","Yes","no","no","no","no","no","no","no","yes","","5/","Free","","[47.5161262,-122.3560079]"
"The local 907","907 S 3rd St, Renton, WA 98057","9pm/9:30pm","Yes","no","no","no","no","no","no","no","yes","","5/","Free","","[47.47960254054767,-122.20520508188628]"
"Tacoma comedy 6th","3829 6th Ave, Tacoma, WA 98406","6:30pm/7:30pm","Yes","no","no","Yes","no","no","no","yes","(Bucket list)","(Check Website for dates)","4(except host 6, closer 8) /","Free","https://www.barkentertainment.com/open-mic","[47.25537,-122.48734599999999]"
"Broken Spoke","1014 M.L.K. Jr Way, Tacoma, WA 98405","7:30pm/8pm","Yes","no","no","Yes","no","no","no","no","yes","Thursday anything allowed","4/","Free","","[47.252357,-122.45235]"
"Donnell’s Bar","813 Main St, Vancouver, WA 98660","5:45pm/6pm","Yes","no","no","no","no","no","no","","","","","","","[45.62740678812019,-122.67152609248382]"
"Underbar","1701 1/2 Broadway St, Vancouver, WA 98663","/8pm","Yes","no","no","no","no","no","no","yes","no","","","","https://forms.gle/9s7r1DK3e1UVTJTs6","[45.634245,-122.670305]"
"Special K bar & grill","3817 N Market St, Spokane, WA 99207","/7:30pm","Yes","no","no","no","no","no","no","","","","","","","[47.69272944413395,-117.36518082942207]"
"Karate Church","519 E Maple St Bellingham, WA 98225","6:30pm/7pm","no","REQ. ->","no","no","no","no","no","","yes","2nd, 4th Tue.","","Free","","[48.74490526530612,-122.47768204081633]"
"Crave 80's Arcade","8628 36th Ave NE Suite #100, Marysville, WA 98270","6:30pm/7pm","no","Yes","no","no","no","no","no","","yes","","","","","[48.074293580825035,-122.18259492191795]"
"Backfire motobar","7701 Aurora Ave N, Seattle, WA 98103","7pm/7:30pm","no","Yes","no","no","no","no","no","","","","","","","[47.684892,-122.344669]"
"Adulis","10515 Greenwood Ave N, Seattle, WA 98133","8:30pm/9pm","no","Yes","no","no","no","no","no","","yes","","","Free","","[47.70531786868687,-122.35557591919192]"
"Woodsky's","303 N 36th St, Seattle, WA 98103","/7pm","no","Yes","no","no","no","no","no","yes","yes","","5/","Free","","[47.65229748275862,-122.35508810344827]"
"Otter on the rocks","4210 SW Admiral Way, Seattle, WA 98116","/7pm","no","REQ. ->","no","no","no","no","no","","yes","1st, 3rd Tue.","/do not punch down","Free","","[47.58126981632653,-122.38545606122449]"
"Club comedy Seattle","328 15th Ave E, Seattle, WA 98112","7pm/8pm","no","Yes","REQ. ->","no","no","no","no","yes","(Bucket list)","Send request email on Tuesday for Wednesday mic. Tuesday is a bucket mic","3/ do not punch down","Free","http://clubcomedyseattle.com/openmic-3/","[47.621417,-122.31254]"
"Cottontail","2219 4th Ave, Seattle, WA 98121","7pm/7:30pm","no","Yes","no","no","no","no","no","","yes","","","","","[47.61473130612245,-122.34304026530612]"
"Comedy Nest","2322 2nd Ave, Seattle, WA 98121","(see REQ.->)/8pm","no","Yes","no","no","no","no","no","yes","no","Sun. open signups 12pm-4pm","/do not punch down","Free","https://www.therendezvous.rocks/calendar/category/comedy/","[47.61418414285714,-122.3460825]"
"Tacoma Comedy downtown","933 Market St, Tacoma, WA 98402","6:30pm/7:30pm","no","Yes","Yes","no","no","no","no","yes","(Bucket list)","(Check Website for dates)","4(except host 6, closer 8) /","Free","https://www.barkentertainment.com/open-mic","[47.25472582828283,-122.4417854141414]"
"Super funny comedy","8402 S Hosmer St Annex Building, Tacoma, WA 98444","7pm/8pm","no","Yes","no","no","no","no","no","yes","yes","2 drink minimum, on-site signup available at opening (limited spots)","3 on-site signup, 5-10 pre-signup/ do not punch down","Free","","[47.18061961171868,-122.46331553378842]"
"Rhythms Coffee","210 4th Ave W, Olympia, WA 98501","/7pm-9pm","no","Yes","no","no","no","no","no","","yes","Female and LGBTQIA+ priority","/do not punch down","Free","","[47.04486326530613,-122.9031984489796]"
"Spokane Comedy","315 W Sprague Ave, Spokane, WA 99201","6:30pm/7:30pm","no","Yes","Yes","no","no","no","no","yes","(Bucket list)","(Check Website for dates)","4(except host 6, closer 8) /","Free","https://www.barkentertainment.com/open-mic","[47.65714791448932,-117.41639800101633]"
"T's Lounge ","703 N Monroe St, Spokane, WA 99201","/9pm","no","Yes","no","no","no","no","no","","yes","","4/","Free","","[47.663617816326536,-117.426733]"
