Name (club),Location,Time Signup/Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Pre-signup,on site signup,requiements / info (dates if specific) ,Wheelchair accessible,Age requirement,set time/rules,Price for Time,Open mic type,Email,Parking,Phone,Web/signup
Tony v's comedy garage,"1716 Hewitt AVE, Everett WA 98201",7pm/8pm,Yes,no,no,no,no,no,no,yes,yes,"send email with stage name, deadline sun. 6pm",yes,,4/,Free,Only Comedy,tonyvscomedygarage@gmail.com,on street,(425)-374-3567,http://TonyvsgarageEverett.com/
nector lounge,"412 N 36th St, Seattle, WA 98103",,Yes,no,no,no,no,no,no,,,,,,,,,,,,
Bad Bar,"819 5th Ave N, Seattle, WA 98109",6:30pm/7pm,Yes,no,no,no,no,no,no,,Yes,,Yes,,5/,Free,Only Comedy,,on street,,
Comedy/bar,"210 BROADWAY E, SEATTLE, WA 98102",7:30pm/8:30pm,REQ. ->,Yes,REQ. ->,no,Yes,no,Yes,yes,yes,Mon is $5 cover LGBTQIA+ priority; see insta. on Wed.,yes,21+,"Tues. 3, Wed., Fri. and Sun. 4/ do not punch down",Free,Only Comedy,queerstothefrontcomedy@gmail.com,on street,,https://www.blakekiltoff.com/latenightmic?fbclid=PAAaYjx0Re7R8kuqTC-7ar8xZrdT1Fgheb6tPxfSgmJ6ctA1RVaV_4z4L_1Xo
Southgate roller rink,9646 17TH AVE SW Seattle wa 98106,9pm/9:25pm,Yes,no,no,no,no,no,no,no,yes,,yes,21+,5/,Free,Only Comedy,,on site,,
The local 907,"907 S 3rd St, Renton, WA 98057",9pm/9:30pm,Yes,no,no,no,no,no,no,no,yes,,yes,21+,5/,Free,Only Comedy,,on street,,
Tacoma comedy 6th,"3829 6th Ave, Tacoma, WA 98406",6:30pm/7:30pm,Yes,no,no,Yes,no,no,no,yes,(Bucket list),(Check Website for dates),,21+,"4(except host 6, closer 8) /",Free,Only Comedy,info@tacomacomedyclub.com,on street,,https://www.barkentertainment.com/open-mic
Broken Spoke,"1014 M.L.K. Jr Way, Tacoma, WA 98405",7:30pm/8pm,Yes,no,no,Yes,no,no,no,no,yes,Thursday anything allowed,yes,,4/,Free,Only Comedy,,on street,,
Donnell’s Bar,"813 Main St, Vancouver, WA 98660",5:45pm/6pm,Yes,no,no,no,no,no,no,,,,,,,,,,,,
Underbar,"1701 1/2 Broadway St, Vancouver, WA 98663",/8pm,Yes,no,no,no,no,no,no,yes,no,,,,,,,,,,https://forms.gle/9s7r1DK3e1UVTJTs6
Special K bar & grill,"3817 N Market St, Spokane, WA 99207",/7:30pm,Yes,no,no,no,no,no,no,,,,,21+,,,,,,,
Karate Church,"519 E Maple St Bellingham, WA 98225",6:30pm/7pm,no,REQ. ->,no,no,no,no,no,,yes,"2nd, 4th Tue.",,,,Free,,karate.church.project@gmail.com,,,
Crave 80's Arcade,"8628 36th Ave NE Suite #100, Marysville, WA 98270",6:30pm/7pm,no,Yes,no,no,no,no,no,,yes,,,21+,,,Only Comedy,,,,
Backfire motobar,"7701 Aurora Ave N, Seattle, WA 98103",7pm/7:30pm,no,Yes,no,no,no,no,no,,,,,,,,,,,,
Adulis,"10515 Greenwood Ave N, Seattle, WA 98133",8:30pm/9pm,no,Yes,no,no,no,no,no,,yes,,no,,,Free,Only Comedy,,on site,,
Woodsky's,"303 N 36th St, Seattle, WA 98103",/7pm,no,Yes,no,no,no,no,no,yes,yes,,yes,21+,5/,Free,Anything is allowed,comedyatwoodskys@gmail.com,on street,(206)-547-9662,
Otter on the rocks,"4210 SW Admiral Way, Seattle, WA 98116",/7pm,no,REQ. ->,no,no,no,no,no,,yes,"1st, 3rd Tue.",yes,,/do not punch down,Free,Anything is allowed,,on street,,
Club comedy Seattle,"328 15th Ave E, Seattle, WA 98112",7pm/8pm,no,Yes,REQ. ->,no,no,no,no,yes,(Bucket list),Send request email on Tuesday for Wednesday mic. Tuesday is a bucket mic,,21+,3/ do not punch down,Free,Only Comedy,Openmic@clubcomedyseattle.com,on street,(206)-743-8175,http://clubcomedyseattle.com/openmic-3/
Cottontail,"2219 4th Ave, Seattle, WA 98121",7pm/7:30pm,no,Yes,no,no,no,no,no,,yes,,,,,,Anything is allowed,,,,
Comedy Nest,"2322 2nd Ave, Seattle, WA 98121",(see REQ.->)/8pm,no,Yes,no,no,no,no,no,yes,no,Sun. open signups 12pm-4pm,yes,21+,/do not punch down,Free,Only Comedy,comedynestseattle@gmail.com,on street,(206)-441-5823,https://www.therendezvous.rocks/calendar/category/comedy/
Tacoma Comedy downtown,"933 Market St, Tacoma, WA 98402",6:30pm/7:30pm,no,Yes,Yes,no,no,no,no,yes,(Bucket list),(Check Website for dates),no,21+,"4(except host 6, closer 8) /",Free,Only Comedy,info@tacomacomedyclub.com,on street,(253)-282-7203,https://www.barkentertainment.com/open-mic
Super funny comedy,"8402 S Hosmer St Annex Building, Tacoma, WA 98444",7pm/8pm,no,Yes,no,no,no,no,no,yes,yes,"2 drink minimum, on-site signup available at opening (limited spots)",yes,21+,"3 on-site signup, 5-10 pre-signup/ do not punch down",Free,Only Comedy,Info@SuperFunnyComedyClub.com,on site,(253)-878-4898,
Rhythms Coffee,"210 4th Ave W, Olympia, WA 98501",/7pm-9pm,no,Yes,no,no,no,no,no,,yes,Female and LGBTQIA+ priority,,all ages,/do not punch down,Free,Only Comedy,,,,
Spokane Comedy,"315 W Sprague Ave, Spokane, WA 99201",6:30pm/7:30pm,no,Yes,Yes,no,no,no,no,yes,(Bucket list),(Check Website for dates),,21+,"4(except host 6, closer 8) /",Free,Only Comedy,info@spokanecomedyclub.com,on street,(509)-318-9998,https://www.barkentertainment.com/open-mic
T's Lounge ,"703 N Monroe St, Spokane, WA 99201",/9pm,no,Yes,no,no,no,no,no,,yes,,yes,,4/,Free,,,on street ,,
Lucky Dime,"1618 Hewitt Ave, Everett, WA 98201",7:30pm/8pm,no,no,Yes,no,no,no,no,,,,,,tbd/,Free,anything is allowed,,,,
McFiler's Chehalis Theater,"558 N Market Blvd, Chehalis, WA 98532",7pm/8pm,no,no,Yes,no,no,no,no,,,,,,,,,,,,
Peace of mind,"18411 Hwy 99, Lynnwood, WA 98037",6:30pm/7pm-9+pm,no,no,Yes,no,no,no,no,no,yes,,yes,,,Free,,,,,
The Shanghai Room,"8580 Greenwood Ave N, Seattle WA 98103",6:30pm/7pm-9pm,no,no,Yes,no,Yes,Yes,Yes,no,yes,,,21+,4/,Free,Only Comedy,,on site,,
Couth Buzzard,"8310 Greenwood Ave N, Seattle, WA 98103",6:30pm/7pm,no,no,Yes,no,no,no,no,,yes,No microphone,yes,all ages,7/ No Sexual content,Free,Anything is allowed,,on street,(206) 436-2960,
Blue Moon Tavern,"712 NE 45th St Seattle, WA 98105",7:30pm/8pm,no,no,Yes,no,no,no,no,,yes,,,,,Free,Anything is allowed,,,,
Hopvine pub,"507 15th Ave E, Seattle, WA 98112",7:45pm/8pm,no,no,Yes,no,no,no,no,no,yes,Mostly a music open mic,,all ages,4/ do not punch down,Free,Anything is allowed,,on street,,
Skylark,"3803 Delridge Way SW, Seattle, WA 98106",7:30pm/8pm,no,no,Yes,no,no,no,no,no,yes,,yes,21+,10/,Free,Mostly music,,on site,,
